"libDefaultRefs","primMesh","path","size","sourcePrefabRefs","magenta","classification","name","orphanScripts","isBinary"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Aether_A3_Crystal_Amber.prefab","3164","1","0","LFS-VARIANT","Aether_A3_Crystal_Amber.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Aether_D4_Crystal_PaleGreen.prefab","3168","1","0","LFS-VARIANT","Aether_D4_Crystal_PaleGreen.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Aether_E3_Crystal_BlueIce.prefab","3168","1","0","LFS-VARIANT","Aether_E3_Crystal_BlueIce.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AetherLantern.prefab","3156","1","0","LFS-VARIANT","AetherLantern.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AetherVial.prefab","3152","1","0","LFS-VARIANT","AetherVial.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AlabasterColumn.prefab","3156","1","0","LFS-VARIANT","AlabasterColumn.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Alembic.prefab","3156","1","0","LFS-VARIANT","Alembic.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AnastasiaPrincess.prefab","3160","1","0","LFS-VARIANT","AnastasiaPrincess.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AnastasiaRockingChair.prefab","3172","1","0","LFS-VARIANT","AnastasiaRockingChair.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AncientSequoia.prefab","3156","1","0","LFS-VARIANT","AncientSequoia.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AncientStoneSign.prefab","3156","1","0","LFS-VARIANT","AncientStoneSign.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AnkhWallPlaque.prefab","3156","1","0","LFS-VARIANT","AnkhWallPlaque.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Anvil.prefab","3144","1","0","LFS-VARIANT","Anvil.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AnvilHorn.prefab","3152","1","0","LFS-VARIANT","AnvilHorn.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Apothecary.prefab","3160","1","0","LFS-VARIANT","Apothecary.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\ArchKeystone.prefab","3152","1","0","LFS-VARIANT","ArchKeystone.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Archway.prefab","3148","1","0","LFS-VARIANT","Archway.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\ArmoredBootsPair.prefab","3156","1","0","LFS-VARIANT","ArmoredBootsPair.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\ArrowBundle.prefab","3152","1","0","LFS-VARIANT","ArrowBundle.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AuroralBeacon.prefab","3156","1","0","LFS-VARIANT","AuroralBeacon.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\AuroralRing.prefab","3168","1","0","LFS-VARIANT","AuroralRing.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Bagpipe.prefab","3164","1","0","LFS-VARIANT","Bagpipe.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BalconyRail.prefab","3168","1","0","LFS-VARIANT","BalconyRail.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BalloonBasket.prefab","3180","1","0","LFS-VARIANT","BalloonBasket.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BannerPole.prefab","3160","1","0","LFS-VARIANT","BannerPole.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BarrelLarge.prefab","3160","1","0","LFS-VARIANT","BarrelLarge.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BarrelSmall.prefab","3160","1","0","LFS-VARIANT","BarrelSmall.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BasketWoven.prefab","3160","1","0","LFS-VARIANT","BasketWoven.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BastionGate.prefab","3152","1","0","LFS-VARIANT","BastionGate.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BattleAxe.prefab","3168","1","0","LFS-VARIANT","BattleAxe.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BeakerLarge.prefab","3156","1","0","LFS-VARIANT","BeakerLarge.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BeakerMed.prefab","3160","1","0","LFS-VARIANT","BeakerMed.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BeakerSmall.prefab","3152","1","0","LFS-VARIANT","BeakerSmall.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Bellows.prefab","3156","1","0","LFS-VARIANT","Bellows.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BellTowerNarrow.prefab","3164","1","0","LFS-VARIANT","BellTowerNarrow.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BigMortar.prefab","3152","1","0","LFS-VARIANT","BigMortar.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BigMushroomTree.prefab","3164","1","0","LFS-VARIANT","BigMushroomTree.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BirchTree.prefab","3152","1","0","LFS-VARIANT","BirchTree.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BobInnkeeper.prefab","3152","1","0","LFS-VARIANT","BobInnkeeper.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BobsInn.prefab","3148","1","0","LFS-VARIANT","BobsInn.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\Bookshelf.prefab","3160","1","0","LFS-VARIANT","Bookshelf.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BoulderLarge.prefab","3160","1","0","LFS-VARIANT","BoulderLarge.prefab","0","True"
"0","0","C:\dev\_wt_s11_l6_prefabs\Assets\_Project\Prefabs\Moon1\Blender\BoulderMed.prefab","3168","1","0","LFS-VARIANT","BoulderMed.prefab","0","True"
